"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"70","경기도 연천군청","향토장학생(우수)","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","해당없음","직전학년 성적이 평균 70점 이상인 학생","해당없음","800000원","해당없음","본인 및 부모가 1년이상 관내에 주소를 둔 자","생활정도 20% 학업성적 70% 위원회 평가 10% 합산한 점수로 선발","11명","퇴학 정학이상의 징계처분 받은 자 군입대 유학등 타 시군으로 주소 전출한 자2023년도 경기푸른미래관 경기도 송파학사 연천군 장학관 입사생2023년도 경기도민회 장학생산업체 위탁교육생","학교장추천","장학생 신청서주민등록 등본 또는 초본직전학년 성적이 기재된 성적증명서2023년도 1학기분 등록금 납부 영수증2022년도 부 모 각각 건강보험료 납부 확인서학적부 또는 휴학증명서","https://www.yeoncheon.go.kr/index.yeoncheon","2023-04-10","2023-04-28"
"71","경기도 연천군청","향토장학생(일반)","지자체","장학금","지역연고","일반고","해당없음","직전학년 성적이 평균 60점 이상인 학생","가정형편이 어려운 학생","800000원","해당없음","본인 및 부모가 1년이상 관내에 주소를 둔 자","생활정도 70% 학업성적 20% 위원회 평가 10%를 합산한 점수로 선발","7명","퇴학 정학이상의 징계처분 받은 자 군입대 유학등 타 시군으로 주소 전출한 자","해당없음","장학생 신청서주민등록 등본 또는 초본직전학년 성적이 기재된 성적증명서2023년도 1학기분 등록금 납부 영수증재학증명서2021년도 부모 각각 건강보험료 납부 확인서학적부","https://www.yeoncheon.go.kr/index.yeoncheon","2023-04-10","2023-04-28"
"72","경기도 연천군청","향토장학생(특기)","지자체","장학금","지역연고","예술고/체육고","해당없음","해당없음","해당없음","800000원","예체능(미술 음악 체육 기타) 분야에 소질과 재능이 뛰어난 자로 도 단위 이상 대회에서 입상한 경력이 있는 자(2022)","본인 및 부모가 1년이상 관내에 주소를 둔 자","해당없음","3명","퇴학 정학이상의 징계처분 받은 자 군입대 유학등 타 시군으로 주소 전출한 자고등학생 학생 중 장학금 등을 지원받는 학생2023년도 경기푸른미래관 경기도 송파학사 연천군 장학관 입사생2023년도 경기도민회 장학생산업체 위탁교육생","학교장추천","장학생 신청서주민등록 등본 또는 초본2023년도 1학기분 등록금 납부 영수증재학증명서예능 체육대회 입상 상장 사본","https://www.yeoncheon.go.kr/index.yeoncheon","2023-04-10","2023-04-28"
"73","여주시 인재육성장학회","입학우수","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","해당없음","중학교내신 성적 190점 이상인자(NEIS)로 고등학교장 추천(학교별 1명 이내) * 자세한 사항은 첨부파일 참고","해당없음","1000000원","해당없음","보호자나 본인이 계속하여 공고일 현재 여주에 거주하고 있으며 거주한 기간 합산이 총 3년 이상인 학생 ","해당없음","4명 (일반 2명/ 자립 2명)","해당없음","학교장 추천","장학금지원신청서재학증명서주민등록등초본가족관계증명서통장사본 ","https://www.yeoju.go.kr/main/yj","2022-03-02","2022-03-31"
"74","여주시 인재육성장학회","성적우수","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","해당없음","해당없음","해당없음","1000000원","관내 학교별 배정인원에 따라 고등학교장이 추천(개인 접수 불가)","보호자나 본인이 계속하여 공고일 현재 여주에 거주하고 있으며 거주 기간 합산이 총 3년 이상인 학생","해당없음","40명","해당없음","학교장 추천","장학금지원신청서재학증명서주민등록등초본가족관계증명서통장사본 ","https://www.yeojulove.or.kr/","2023-03-02","2023-03-31"
"75","여주시 인재육성장학회","특기","지자체","장학금","지역연고","예술고/체육고","해당없음","해당없음","해당없음","1000000원","2022년도 광역자치단체 단위이상 공공기관이 주최하는 예술 체육기능 문학 등의 대회에서 3위 이상 입상자","보호자나 본인이 계속하여 공고일 현재 여주에 거주하고 있으며 거주한 기간 합산이 총 3년 이상인 학생","해당없음","6명","해당없음","학교장 추천","장학금지원신청서재학증명서주민등록등초본가족관계증명서통장사본","https://www.yeojulove.or.kr/","2023-03-02","2023-03-31"
"76","강원도 홍천군청","저소득주민자녀장학금 (일반)","지자체","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","2023년 1학기 성적이 국어 영어 수학을 포함해 평균 3등급이상","[국민기초생활 보장법]에 의한 수급자로 기초생계·의료·주거·교육급여 중 하나 이상의 급여를 받는 자","500000원","고등학교에 재학 중인 학생을 둔 세대","신청일 현재 부모 또는 자녀가 홍천군에 주소지를 두고 1년 이상 거주한 사람 ","해당없음","0명","해당없음","해당없음","장학금 신청서장학생 추천서성적증명서통장사본(본인)재학증명서  ※ 자세한 사항은 기관 홈페이지 참조","https://www.hongcheon.go.kr/www/index.do  ","2023-10-26","2023-11-17"
"77","강원도 홍천군청","저소득주민자녀장학금 (특별)","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","2023년 1학기 성적이 평균 4등급 이상인 자","[국민기초생활 보장법]에 의한 수급자로 기초생계·의료·주거·교육급여 중 하나 이상의 급여를 받는 사람","500000원","최근 1년 이내 전국 규모의 예체능계 및 기능경연에서 3위 이내 입상자","신청일 현재 부모 또는 자녀가 홍천군에 주소지를 두고 1년 이상 거주한 주민","해당없음","0명명","해당없음","해당없음","장학금 신청서장학생 추천서성적증명서통장사본(본인)재학증명서전국대회 입상증명 서류","https://www.hongcheon.go.kr/www/index.do  ","2023-10-26","2023-11-17"
"78","강원도 평창군청","자립장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","해당없음","해당없음","600000원(생활비)","학업성적이 우수하고 품행이 단정한 학생 ","강원도내 고등학교 재학생 및 신입생 평창군 내 중학교 재학생공고일 현재 보호자가 3년 이상 계속해서 평창군에 주민등록을 두고 거주하고 있어야함 ","해당없음","28명 (학교별 학생 수 반영하여 인원 배정)","해당없음","학교장 추천","장학금 지원신청서개인정보 수집/제공 동의서장학금 신청인 서약서통장사본보호자 주민등록초본가족관계증명서장학생 추천서 * 자세한 사항은 첨부파일 참고고","https://www.pc.go.kr/portal","2023-03-06","2023-03-31"
"79","강원도 평창군청","예체능특기장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","해당없음","해당없음","600000원 (생활비)","직전학년 전국대회 개인전 3위 이내 입상자 ","강원도내 고등학교 재학생 및 신입생공고일 현재 보호자가 3년 이상 계속해서 평창군에 주민등록을 두고 거주하고 있어야함 ","해당없음","10명","해당없음","해당없음","장학생 지원서개인정보 수집 이용 제공 및 조회 동의서장학금 신청인 서약서통장사본보호자 주민등록 초본가족관계 증명서직전 학년 전국대회 입상증명서 사본재학증명서 * 자세한 사항은 첨부파일 참고","https://www.pc.go.kr/portal","2023-03-06","2023-03-31"
"80","강원도 속초시청","애향장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","직전년도 성적 백분위신입생은 중학교 성적 재학생은 직전학년 성적","해당없음","해당없음","학업성적이 우수하고 경제적 신체적으로 어려움이 있는 학생예술·체육분야 특기생 : 직전학년 재학 중 전국단위 대회 3위 이내 입상 또는 도 단위 대회 1위에 입상한 경력이 있는 학생","신청일 현재 속초시 관내에 1년 이상 주소를 두고 있는 주민의 자녀 또는 본인부모가 속초시 관내 1년 이상 거주하면서 학업을 위해 본인의 주소지를 이전한 학생","직전년도 성적 백분위예체능 특기생 : 수상실적 40% 학업성적 30% 가정형편 30% 가산점(5점) * 자세한 사항은 첨부파일 참고","00명","해당없음","학교장추천","장학생 신청서주민등록 등본개인정보 수집이용 및 제 3자 제공동의서성적증명서부모의 건강보험납부확인서전년도 입상증명서(예체능특기생)부모의 건강보험납부확인서추가 제출서류(해당자)  * 자세한 사항은 첨부파일 참고","http://www.sokcho.go.kr/portal","2023-06-05","2023-06-09"
"81","강원도 원주시청","학업성적우수인재","지자체","장학금","지역연고","영재고/일반고","1학년/2학년/3학년/제한없음"," * 2023년 1학기 3월6월 전국연합학력평가(모의고사) 성적 반영2개~5개 영역 1등급 이내인 자 * 1등급 영역 개수 별 배점 차등 * 3월과 6월 모두 충족해야 함","해당없음","1000000원 * 학습지원비 명목의 장학금으로 타 장학금과 중복 수혜 가능","해당없음","공고일 현재 원주시 관내에서 주소를 두고 1년 이상 거주하고 있는 원주시민 또는 그 자녀","성적 80% + 거주기간 10% + 재산상황 10%","8명","1세대 2인 이상 신청 시 최고점자 1인 선발","해당없음","원주시 우수인재 학습지원 신청서자기소개서개인정보제공동의서학생의 가족관계증명서주민등록초본재학증명서 및 성적증명서2022년도 부모 건강보험납부확인서 또는 건강보험자격득실확인서 * 자세한 사항은 첨부파일 참고 필수","http://www.wonju.go.kr","2023-07-17","2023-07-28"
"82","재단법인 부여군굿뜨래장학회","재능장학생 ","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","500000원","예체능 과학 수학 전산 등의 전국규모 대회에서 개인전으로 3위권 이내로 입상한 자 ( 공고일로부터 1년 이내에 입상 및 3위권 성적에 한함)재능학생 입상성적은 개인분야 성적에 한함","공고일 1년전부터 부여군에 주소를 둔 군민 또는 군민의 자녀","학업성적 경제적 여건 자격증 수상실적 봉사활동 등 서류심사 ","2명","단체분야 성적제외한 세대 한 명 하나의 분야만 신청 가능재학기간 중 1번만 선발 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","신청서성적증명서재학증명서주민등록등초본건강보험료 납부확인서증빙서류   * 자세한 사항은 첨부파일 또는 홈페이지 참고","http://janghak.buyeo.go.kr","2024-01-29","2024-02-13"
"83","재단법인 천안사랑장학재단","천안사랑 장학금","지자체","장학금","특기자","일반고","1학년/2학년/3학년/제한없음","성적이 우수하고 품행이 올바른 자","가정 형편이 어려운 자","700000원"," * 지역거주요건을 만족하며 행실이 타의 귀감이 되는 고등학생(다문화 부문) 다문화 가정 자녀(다자녀) 자녀가 3인 이상인 가정의 자녀(새터민) 부 또는 모 보호자 및 본인이 새터민","공고일 현재 본인이나 부 또는 모 보호자가 천안시에 1년 이상 계속해서 주민등록을 두고 거주하는 관내 고등학교 재학생","해당없음","총 120명 (학교마다 추천 인원 상이함함)","1세대 1명 신청 가능","학교장에 의한 신청(개별신청 불가)","학교장 공문장학금 추천·신청서학생 주민등록초본개인(신용)정보 수집·이용·제공 및 조회 동의서통장사본가족관계증명서북한이탈주민 등록확인서(해당자) * 자세한 사항은 기관으로 문의 바랍니다.","http://cheonan.go.kr ","2023-08-30","2023-09-08"
